date,open,high,low,close,volume,adj_close,ret
1951-01-29,21.67,21.67,21.67,21.67,2630000,21.67,0.0032302722658050786
1951-01-30,21.74,21.74,21.74,21.74,2480000,21.74,-0.0036798528058876734
1951-01-31,21.66,21.66,21.66,21.66,2340000,21.66,0.005078485687904033
1951-02-01,21.77,21.77,21.77,21.77,2380000,21.77,0.008727560863573736
1951-02-02,21.959999,21.959999,21.959999,21.959999,3030000,21.959999,0.010929053320995141
1951-02-05,22.200001,22.200001,22.200001,22.200001,2680000,22.200001,-0.0036036034412790796
1951-02-06,22.120001000000002,22.120001000000002,22.120001000000002,22.120001000000002,2370000,22.120001000000002,-0.005877079300313004
1951-02-07,21.99,21.99,21.99,21.99,2020000,21.99,0.004547521600727578
1951-02-08,22.09,22.09,22.09,22.09,2120000,22.09,0.00362154821186067
1951-02-09,22.17,22.17,22.17,22.17,2550000,22.17,0.0004510599909786084
1951-02-13,22.18,22.18,22.18,22.18,2400000,22.18,-0.002705094679891662
1951-02-14,22.120001000000002,22.120001000000002,22.120001000000002,22.120001000000002,2050000,22.120001000000002,-0.005424999754746973
1951-02-15,22.0,22.0,22.0,22.0,1700000,22.0,0.005909045454545403
1951-02-16,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998,1860000,22.129998999999998,-0.013556213897705116
1951-02-19,21.83,21.83,21.83,21.83,1910000,21.83,-0.0018322950068712096
1951-02-20,21.790001,21.790001,21.790001,21.790001,2010000,21.790001,0.0032124826428414632
1951-02-21,21.860001,21.860001,21.860001,21.860001,1670000,21.860001,0.0027446933785593153
1951-02-23,21.92,21.92,21.92,21.92,1540000,21.92,0.00045620437956195303
1951-02-26,21.93,21.93,21.93,21.93,1650000,21.93,-0.007751937984496027
1951-02-27,21.76,21.76,21.76,21.76,1680000,21.76,0.0018381893382350967
1951-02-28,21.799999,21.799999,21.799999,21.799999,1640000,21.799999,0.002293623958423252
1951-03-01,21.85,21.85,21.85,21.85,1610000,21.85,0.0036613272311212253
1951-03-02,21.93,21.93,21.93,21.93,1570000,21.93,-0.006383903328773366
1951-03-05,21.790001,21.790001,21.790001,21.790001,1690000,21.790001,0.0
1951-03-06,21.790001,21.790001,21.790001,21.790001,1490000,21.790001,0.0032124826428414632
1951-03-07,21.860001,21.860001,21.860001,21.860001,1770000,21.860001,0.004117108686316984
1951-03-08,21.950001,21.950001,21.950001,21.950001,1440000,21.950001,0.0
1951-03-09,21.950001,21.950001,21.950001,21.950001,1610000,21.950001,-0.01138952112120628
1951-03-12,21.700001,21.700001,21.700001,21.700001,1640000,21.700001,-0.013364100766631304
