date,snp,djia,nasdaq,microsoft,apple,google,vix
2005-05-06,1171.349976,10345.400391,1967.349976,19.043123,4.786171,113.27327,14.05
2005-05-09,1178.839966,10384.339844,1979.670044,18.960066,4.751469,112.279732,13.75
2005-05-10,1166.219971,10281.110352,1962.77002,18.801504,4.680781,113.163979,14.91
2005-05-11,1171.109985,10300.25,1971.550049,18.809053,4.5766800000000005,114.897697,14.45
2005-05-12,1159.359985,10189.480469,1963.880005,18.877014000000006,4.386466,113.621002,16.12
2005-05-13,1154.050049,10140.120117,1976.780029,19.103527,4.468721,113.879326,16.32
2005-05-16,1165.689941,10252.290039,1994.430054,19.30805,4.568967,114.778473,15.68
2005-05-17,1173.800049,10331.879883,2004.150024,19.28533,4.544549,115.811752,14.57
2005-05-18,1185.560059,10464.450195,2030.650024,19.467127,4.6062379999999985,118.807274,13.63
2005-05-19,1191.079956,10493.19043,2042.579956,19.63376,4.826013,118.817207,13.32
2005-05-20,1189.280029,10471.910156,2046.420044,19.497423,4.826013,120.024361,13.14
2005-05-23,1193.859985,10523.55957,2056.649902,19.580744,5.110046,126.899643,12.95
2005-05-24,1194.069946,10503.679688,2061.6201170000004,19.504992,5.102334,127.172867,12.69
2005-05-25,1190.01001,10457.799805,2050.1201170000004,19.474695,5.112617,129.56231699999998,12.58
2005-05-26,1197.619995,10537.599609,2071.23999,19.618618,5.235997,128.762527,12.24
2005-05-27,1198.780029,10542.549805,2075.72998,19.747391,5.212864,132.140549,12.15
2005-05-31,1191.5,10467.480469,2068.219971,19.542868,5.110046,137.739136,13.29
2005-06-01,1202.219971,10549.870117,2087.860107,19.550444,5.179449,143.069473,12.36
2005-06-02,1204.290039,10553.490234,2097.800049,19.53529,5.146032,143.019791,11.84
2005-06-03,1196.02002,10460.969727,2071.429932,19.262604,4.914692,139.224472,12.15
2005-06-06,1197.51001,10467.030273,2075.76001,19.217154,4.873566,144.529968,12.28
2005-06-07,1197.26001,10483.070313,2067.159912,19.3232,4.696205,145.61293,12.39
2005-06-08,1194.670044,10476.860352,2060.179932,19.239882,4.745043,138.87673999999998,12.7
2005-06-09,1200.930054,10503.019531,2076.909912,19.3232,4.838864,142.229935,12.08
2005-06-10,1198.109985,10512.629883,2063.0,19.262604,4.602382,140.337234,11.96
2005-06-13,1200.819946,10522.55957,2068.959961,19.171703,4.613951,140.46144099999998,11.65
2005-06-14,1203.910034,10547.570313,2069.040039,19.209579,4.626802,138.27565,11.79
2005-06-15,1206.579956,10566.370117,2074.919922,19.133841,4.772032,136.512115,11.46
2005-06-16,1210.959961,10578.650391,2089.149902,18.967184,4.881277,137.823593,11.15
2005-06-17,1216.959961,10623.070313,2090.110107,18.967184,4.923689,139.24435400000002,11.48
2005-06-20,1216.099976,10609.110352,2088.129883,19.020208,4.833723,142.423676,11.47
2005-06-21,1213.609985,10599.669922,2091.070068,19.050512,4.865853,142.98998999999995,11.08
2005-06-22,1213.880005,10587.929688,2092.030029,18.989912,4.954534,143.715271,11.05
2005-06-23,1200.72998,10421.44043,2070.659912,19.171703,4.998231,143.918945,12.13
2005-06-24,1191.569946,10297.839844,2053.27002,18.967184,4.853001,147.664581,12.18
2005-06-27,1190.689941,10290.780273,2045.199951,18.97476,4.768177,151.067459,12.52
2005-06-28,1201.569946,10405.629883,2069.889893,18.989912,4.795167,150.024231,11.58
2005-06-29,1199.849976,10374.480469,2068.889893,19.005064,4.674356,145.41421499999996,11.77
2005-06-30,1191.329956,10274.969727,2056.959961,18.815693,4.730906,146.124603,12.04
2005-07-01,1194.439941,10303.44043,2057.3701170000004,18.717228,4.691063,144.683975,11.4
2005-07-05,1204.98999,10371.799805,2078.75,18.921741,4.881277,146.899567,11.68
2005-07-06,1194.939941,10270.679688,2068.649902,18.709652,4.8054489999999985,144.8181,12.27
2005-07-07,1197.869995,10302.290039,2075.659912,18.671772,4.836295,146.815109,12.49
2005-07-08,1211.859985,10449.139648,2112.879883,19.005064,4.915978,147.157883,11.45
2005-07-11,1219.439941,10519.719727,2135.429932,19.156565,4.896699,145.72718799999996,11.28
2005-07-12,1222.209961,10513.889648,2143.149902,19.398951,4.914692,144.94725,10.95
2005-07-13,1223.290039,10557.389648,2144.110107,19.436827,4.9288300000000005,148.46438600000005,10.84
2005-07-14,1226.5,10628.889648,2152.820068,19.671638,5.237284,149.472824,10.81
2005-07-15,1227.920044,10640.830078,2156.780029,19.53529,5.340102,149.621857,10.33
2005-07-18,1221.130005,10574.990234,2144.8701170000004,19.353504,5.33239,148.802185,10.77
2005-07-19,1229.349976,10646.55957,2173.179932,19.815559,5.550879,153.948715,10.45
2005-07-20,1235.199951,10689.150391,2188.570068,19.838291,5.607429,154.991928,10.23
2005-07-21,1227.040039,10627.769531,2178.600098,20.027647,5.563731,155.955658,10.97
2005-07-22,1233.680054,10651.179688,2179.73999,19.451975,5.6549809999999985,150.222946,10.52
2005-07-25,1229.030029,10596.480469,2166.73999,19.459547,5.63056,146.969101,11.1
2005-07-26,1231.160034,10579.769531,2175.98999,19.345926,5.607429,147.088333,10.99
2005-07-27,1236.790039,10637.089844,2186.219971,19.482275,5.653696,147.50561499999995,10.36
2005-07-28,1243.719971,10705.549805,2198.439941,19.504992,5.629276,145.801697,10.52
2005-07-29,1234.180054,10640.910156,2184.830078,19.398951,5.481476,142.950241,11.57
2005-08-01,1235.349976,10623.150391,2195.379883,19.63376,5.494326,144.862808,12.08
2005-08-02,1244.119995,10683.740234,2218.149902,20.307920000000006,5.550879,148.628311,11.75
2005-08-03,1245.040039,10697.589844,2216.810059,20.641212,5.5547330000000015,147.689423,11.83
2005-08-04,1235.859985,10610.099609,2191.320068,20.694235,5.489187,147.90303,12.52
2005-08-05,1226.420044,10558.030273,2177.909912,21.027527,5.525174,145.230423,12.48
2005-08-08,1223.130005,10536.929688,2164.389893,20.550308,5.481476,144.683975,13.21
2005-08-09,1231.380005,10615.669922,2174.189941,20.716957,5.6318470000000005,144.842941,12.4
2005-08-10,1229.130005,10594.410156,2157.810059,20.413969,5.575297,141.916962,12.38
2005-08-11,1237.810059,10685.889648,2174.550049,20.656355,5.6549809999999985,141.107239,12.42
2005-08-12,1230.390015,10600.30957,2156.899902,20.489712,5.924877,143.92391999999995,12.74
2005-08-15,1233.869995,10634.379883,2167.040039,20.611275,6.127943,141.082397,12.26
2005-08-16,1219.339966,10513.450195,2137.060059,20.314976,5.944156,141.90206899999995,13.52
2005-08-17,1220.23999,10550.709961,2145.149902,20.47452,6.059825,141.62884499999996,13.3
2005-08-18,1219.02002,10554.929688,2136.080078,20.375763,5.950582,139.090347,13.42
2005-08-19,1219.709961,10559.230469,2135.560059,20.299784,5.890177,139.095322,13.42
2005-08-22,1221.72998,10569.889648,2141.409912,20.444128,5.895318,136.119675,13.42
2005-08-23,1217.589966,10519.580078,2137.25,20.41374,5.87861,138.886673,13.34
2005-08-24,1209.589966,10434.870117,2128.909912,20.36816,5.882465,140.37200900000002,14.17
2005-08-25,1212.369995,10450.629883,2134.3701170000004,20.535295,5.919736,140.381958,13.73
2005-08-26,1205.099976,10397.290039,2120.77002,20.489712,5.87861,140.873749,13.72
2005-08-29,1212.280029,10463.049805,2137.649902,20.626461,5.891461,143.293015,13.52
2005-08-30,1208.410034,10412.820313,2129.76001,20.649254,5.985282,142.70683300000005,13.65
2005-08-31,1220.329956,10481.599609,2152.090088,20.801195,6.026411,142.075928,12.6
2005-09-01,1221.589966,10459.629883,2147.899902,20.664454,5.9454410000000015,142.200119,13.15
2005-09-02,1218.02002,10447.370117,2141.070068,20.527704,5.9403,143.293015,13.57
2005-09-06,1233.390015,10589.240234,2166.860107,20.512505,6.271887,142.62735,12.93
2005-09-07,1236.359985,10633.5,2172.030029,20.398552,6.256465,146.482269,12.52
2005-09-08,1231.670044,10595.929688,2166.030029,20.216217,6.39784,146.740601,12.93
2005-09-09,1241.47998,10678.55957,2175.51001,20.193424,6.594479,148.578644,11.98
2005-09-12,1240.560059,10682.94043,2182.830078,20.216217,6.606047,153.869232,11.65
2005-09-13,1231.199951,10597.44043,2171.75,20.117453,6.531505,154.832962,12.39
2005-09-14,1227.160034,10544.900391,2149.330078,19.988298,6.375991,150.52101100000004,12.91
2005-09-15,1227.72998,10558.75,2146.149902,19.957905,6.409407,150.33223,12.49
2005-09-16,1237.910034,10641.94043,2160.350098,19.805962,6.581627,149.130051,11.22
2005-09-19,1231.02002,10557.629883,2145.26001,19.752787,6.765414,150.913452,12.14
2005-09-20,1221.339966,10481.519531,2131.330078,19.631229,6.836100999999998,152.960144,12.64
2005-09-21,1210.199951,10378.030273,2106.639893,19.365326,6.6972960000000015,154.942245,13.79
2005-09-22,1214.619995,10422.049805,2110.780029,19.251369,6.670308,154.678955,13.33
2005-09-23,1215.290039,10419.589844,2116.840088,19.198187,6.837385,156.661072,12.96
2005-09-26,1215.630005,10443.629883,2121.459961,19.198187,6.9196399999999985,156.124557,13.04
2005-09-27,1215.660034,10456.209961,2116.419922,19.251369,6.8682300000000005,155.955658,12.76
2005-09-28,1216.890015,10473.089844,2115.399902,19.502075,6.5649190000000015,152.01130700000004,12.63
2005-09-29,1227.680054,10552.780273,2141.219971,19.707199,6.726856,153.809616,12.24
2005-09-30,1228.810059,10568.700195,2151.689941,19.547665,6.890078999999999,157.20752,11.92
2005-10-03,1226.699951,10535.480469,2155.429932,19.372923,6.996753999999999,158.310349,12.46
2005-10-04,1214.469971,10441.110352,2139.360107,18.977867,6.908073,154.495163,13.2
2005-10-05,1196.390015,10317.360352,2103.02002,18.74235,6.783407,154.351089,14.55
2005-10-06,1191.48999,10287.099609,2084.080078,18.787937,6.644601,155.36450200000004,14.96
2005-10-07,1195.900024,10292.30957,2090.350098,18.68157,6.5931929999999985,155.483734,14.59
2005-10-10,1187.329956,10238.759766,2078.919922,18.582813,6.473668,154.32128899999995,15.55
2005-10-11,1184.869995,10253.169922,2061.090088,18.544828,6.630464999999999,152.06098899999995,15.63
2005-10-12,1177.680054,10216.910156,2037.469971,18.461258,6.329722,149.512558,16.22
2005-10-13,1176.839966,10216.589844,2047.219971,18.68157,6.9067880000000015,147.758972,16.47
2005-10-14,1186.569946,10287.339844,2064.830078,18.74235,6.940204,147.113174,14.87
2005-10-17,1190.099976,10348.099609,2070.300049,18.635992,6.8682300000000005,151.514542,14.67
2005-10-18,1178.140015,10285.259766,2056.0,18.66638,6.7101479999999984,150.66009499999996,15.33
2005-10-19,1195.76001,10414.129883,2091.23999,19.061438,7.061014,153.352585,13.5
2005-10-20,1177.800049,10281.099609,2068.110107,18.833525,7.215242,150.620361,16.11
2005-10-21,1179.589966,10215.219727,2082.209961,18.82592,7.153550999999998,168.851776,16.13
2005-10-24,1199.380005,10385.0,2115.830078,19.069036,7.298781,173.19851699999995,14.74
2005-10-25,1196.540039,10377.870117,2109.449951,19.015854,7.2101,172.334137,14.53
2005-10-26,1191.380005,10344.980469,2100.050049,19.076628,7.329625,176.571579,14.59
2005-10-27,1178.900024,10229.950195,2063.810059,18.879095,7.12142,175.389267,16.02
2005-10-28,1198.410034,10402.769531,2089.879883,19.39572,7.000609,177.92775,14.25
2005-10-31,1207.01001,10440.070313,2120.300049,19.524864,7.401598,184.867615,15.32
2005-11-01,1202.76001,10406.769531,2114.050049,19.722395,7.3900320000000015,188.464218,14.85
2005-11-02,1214.76001,10472.730469,2144.310059,20.102255,7.704910000000001,188.613251,13.48
2005-11-03,1219.939941,10522.589844,2160.219971,20.087061,7.949103999999998,191.727997,13.0
2005-11-04,1220.140015,10530.759766,2169.429932,20.2542,7.859136,193.953522,13.17
